The Family Remains;Lisa Jewell;3,88;452;139104;10356;2022-07-26;2022;Thriller
Wrong Place Wrong Time;Gillian McAllister;4;416;340333;34137;2022-05-12;2022;Mystery
Dead Silence;S.A. Barnes;3,8;343;27838;5089;2022-02-08;2022;Horror
This Vicious Grace;Emily Thiede;3,98;448;14462;3455;2022-06-28;2022;Fantasy
Hidden Pictures;Jason Rekulak;4,15;372;301634;32530;2022-05-10;2022;Horror
The Lies I Tell;Julie  Clark;4,1;302;78263;7895;2022-06-21;2022;Thriller
Nona the Ninth;Tamsyn Muir;4,35;480;41453;6771;2022-09-13;2022;Fantasy
Only a Monster;Vanessa Len;3,87;416;27097;5645;2022-02-01;2022;Fantasy
The Island;Adrian McKinty;3,78;375;35285;5190;2022-05-17;2022;Thriller
Less Is Lost;Andrew Sean Greer;3,72;272;17841;2286;2022-09-20;2022;Fiction
By the Book;Jasmine Guillory;3,72;320;38851;5557;2022-05-03;2022;Romance
Weather Girl;Rachel Lynn Solomon;3,62;336;44621;7053;2022-01-11;2022;Romance
In Search of a Prince;Toni Shiloh;4,2;374;1363;539;2022-02-01;2022;Romance
Happy-Go-Lucky;David Sedaris;4,18;272;43071;4238;2022-05-31;2022;Humor
A World of Curiosities;Louise Penny;4,46;390;66225;6304;2022-11-29;2022;Mystery
You Made a Fool of Death with Your Beauty;Akwaeke Emezi;3,55;288;49033;8904;2022-05-24;2022;Romance
The Atlas Paradox;Olivie Blake;3,56;397;58627;9547;2022-10-25;2022;Fantasy
Wahala;Nikki May;3,64;384;15859;2538;2022-01-06;2022;Fiction
Foul Lady Fortune;Chloe Gong;4,24;528;26043;5952;2022-09-27;2022;Fantasy
The Matchmaker's Gift;Lynda Cohen Loigman;4,15;320;18223;2684;2022-09-20;2022;Historical Fiction
Mr. Wrong Number;Lynn Painter;3,69;352;120018;15899;2022-03-01;2022;Romance
Running Wild;K.A. Tucker;4,21;370;30108;3260;2022-01-25;2022;Romance
The Swimmers;Julie Otsuka;3,68;176;32406;5394;2022-02-22;2022;Fiction
Rogues: True Stories of Grifters, Killers, Rebels and Crooks;Patrick Radden Keefe;4,01;368;16238;1822;2022-06-28;2022;Nonfiction
What Lies Beyond the Veil;Harper L. Woods;3,6;419;67769;7739;2022-02-22;2022;Fantasy
Wicked Beauty;Katee Robert;3,95;402;57907;6301;2022-06-07;2022;Romance
Thistlefoot;GennaRose Nethercott;3,96;448;19438;3617;2022-09-13;2022;Fantasy
The Wedding Dress Sewing Circle;Jennifer  Ryan;4,09;411;17849;2505;2022-05-31;2022;Historical Fiction
Twin Crowns;Catherine Doyle;3,95;480;25255;4425;2022-05-17;2022;Fantasy
To Paradise;Hanya Yanagihara;3,76;720;46483;7077;2022-01-11;2022;Fiction
Vladimir;Julia May Jonas;3,45;238;33313;5376;2022-02-01;2022;Fiction
Meant to Be;Emily Giffin;3,92;368;83621;5966;2022-05-31;2022;Romance
A Lady's Guide to Fortune-Hunting;Sophie Irwin;3,92;325;38811;6527;2022-05-12;2022;Romance
The Undertaking of Hart and Mercy;Megan Bannen;4,09;336;32210;6500;2022-08-23;2022;Fantasy
Other Birds;Sarah Addison Allen;4,03;290;67328;8990;2022-08-30;2022;Fiction
My Government Means to Kill Me;Rasheed Newson;4,25;276;5043;946;2022-08-23;2022;Historical Fiction
Her Last Goodbye;Rick Mofina;4;384;2408;229;2022-01-25;2022;Mystery
Thank You for Listening;Julia Whelan;4;432;74232;11650;2022-08-02;2022;Romance
Things We Do in the Dark;Jennifer Hillier;3,95;352;102699;10103;2022-07-19;2022;Thriller
The Deepest of Secrets;Kelley Armstrong;4,14;352;6637;752;2022-02-15;2022;Mystery
The Unmarked Witch;Miranda Lyn;4,05;421;9036;1018;2022-09-12;2022;Fantasy
Ocean's Echo;Everina Maxwell;4,13;464;7799;1657;2022-11-01;2022;Science Fiction
A Thousand Heartbeats;Kiera Cass;3,91;576;23388;3853;2022-11-29;2022;Romance
Into the Riverlands;Nghi Vo;4,03;100;7946;1410;2022-10-25;2022;Fantasy
