The Crossing Gate;Asiel R. Lavie;3,93;240 ;116 ;416;2022-01-04;2022;Fantasy
Pure Colour;Sheila Heti;3,47;16,743 ;3,630 ;224;2022-02-15;2022;Fiction
The Passenger;Cormac McCarthy;3,58;30,918 ;4,898 ;385;2022-10-25;2022;Fiction
Do You Remember?;Freida McFadden;4,06;57,910 ;3,121 ;333;2022-01-10;2022;Thriller
The First to Die at the End;Adam Silvera;4,02;89,006 ;10,181 ;560;2022-10-04;2022;Romance
The Darkening;Sunya Mara;3,58;7,716 ;1,580 ;400;2022-07-05;2022;Fantasy
Unmissing;Minka Kent;4,01;63,588 ;4,184 ;252;2022-02-15;2022;Thriller
Haven;Emma Donoghue;3,42;9,855 ;1,854 ;272;2022-08-23;2022;Historical Fiction
Tell Me the Truth;Kiersten Modglin;3,78;7,030 ;665 ;216;2022-02-27;2022;Thriller
Such Sharp Teeth;Rachel  Harrison;3,85;17,149 ;3,470 ;336;2022-10-04;2022;Horror
Crowbones;Anne Bishop;4,39;8,029 ;975 ;353;2022-03-08;2022;Fantasy
Cult Classic;Sloane Crosley;3,3;19,725 ;3,275 ;304;2022-06-07;2022;Fiction
Or Else;Joe Hart;3,99;16,031 ;772 ;253;2022-04-01;2022;Thriller
The English Understand Wool;Helen DeWitt;4,11;7,809 ;1,281 ;69;2022-08-16;2022;Fiction
Lightning in a Mirror;Jayne Ann Krentz;4,25;5,497 ;445 ;320;2022-01-18;2022;Romance
Glow;Raven Kennedy;4,16;74,771 ;6,677 ;705;2022-06-18;2022;Romance
Muscles & Monsters;Ashley Bennett;3,77;12,593 ;2,180 ;182;2022-05-27;2022;Romance
One Step Too Far;Lisa Gardner;4,24;47,741 ;4,034 ;416;2022-01-18;2022;Mystery
Other People's Clothes;Calla Henkel;3,7;13,433 ;1,811 ;320;2022-02-01;2022;Fiction
All My Rage;Sabaa Tahir;4,5;50,979 ;8,858 ;376;2022-03-01;2022;Young Adult
Girl, Forgotten;Karin Slaughter;4,02;96,511 ;6,575 ;400;2022-06-23;2022;Thriller
A Ballad of Love and Glory;Reyna Grande;3,82;1,983 ;427 ;384;2022-03-15;2022;Historical Fiction
The Lost Girls of Willowbrook;Ellen Marie Wiseman;3,93;40,069 ;4,191 ;355;2022-08-30;2022;Historical Fiction
Nothing More to Tell;Karen M. McManus;3,91;53,903 ;6,140 ;358;2022-08-30;2022;Mystery
Stella Maris;Cormac McCarthy;3,87;18,355 ;2,607 ;190;2022-12-06;2022;Fiction
The Roughest Draft;Emily Wibberley;3,58;52,934 ;8,448 ;317;2022-01-25;2022;Romance
Homicide and Halo-Halo;Mia P. Manansala;3,67;17,873 ;2,186 ;279;2022-02-08;2022;Mystery
The Seven Moons of Maali Almeida;Shehan Karunatilaka;3,92;44,225 ;5,867 ;386;2022-08-04;2022;Fiction
Lessons;Ian McEwan;4;25,897 ;3,390 ;448;2022-09-13;2022;Fiction
If You Ask Me;Libby Hubscher;3,53;6,527 ;937 ;368;2022-03-08;2022;Romance
Serendipity: Ten Romantic Tropes, Transformed;Marissa Meyer;3,24;4,138 ;934 ;320;2022-01-04;2022;Romance
More Than You'll Ever Know;Katie Gutierrez;3,73;22,479 ;2,643 ;435;2022-06-07;2022;Mystery
Lost and Found in Paris;Lian Dolan;3,72;5,253 ;704 ;310;2022-04-05;2022;Fiction
Lockdown on London Lane;Beth Reekles;3,43;5,248 ;1,014 ;304;2022-02-01;2022;Romance
I Fell in Love With Hope;Lancali;3,89;24,335 ;4,868 ;402;2022-08-01;2022;Romance
Take My Hand;Dolen Perkins-Valdez;4,37;84,329 ;9,189 ;359;2022-04-12;2022;Historical Fiction
Be the Serpent;Seanan McGuire;4,46;4,522 ;433 ;384;2022-08-30;2022;Urban Fantasy
Our Last Days in Barcelona;Chanel Cleeton;4,12;12,697 ;1,111 ;336;2022-05-24;2022;Historical Fiction
Just Like Mother;Anne Heltzel;3,7;12,316 ;2,694 ;320;2022-05-17;2022;Horror
See You Yesterday;Rachel Lynn Solomon;3,89;25,717 ;4,691 ;419;2022-05-17;2022;Romance
Family of Liars;E. Lockhart;3,78;94,262 ;8,884 ;299;2022-05-03;2022;Young Adult
The Kiss Curse;Erin Sterling;3,78;56,613 ;7,714 ;309;2022-09-20;2022;Romance
Flying Solo;Linda Holmes;3,58;27,586 ;3,574 ;320;2022-06-14;2022;Fiction
With Love from London;Sarah Jio;4,02;14,384 ;2,160 ;381;2022-02-08;2022;Romance
No Plan B;Lee Child;3,98;54,548 ;3,108 ;359;2022-11-25;2022;Thriller
Drunk on All Your Strange New Words;Eddie Robson;3,91;2,933 ;560 ;277;2022-06-28;2022;Science Fiction
The Colony;Audrey Magee;4,12;9,982 ;1,401 ;376;2022-02-03;2022;Fiction
The Night Ship;Jess Kidd;3,66;11,048 ;1,869 ;400;2022-07-12;2022;Historical Fiction
The Recovery Agent;Janet Evanovich;3,65;37,540 ;3,548 ;320;2022-03-22;2022;Mystery
Heroic Hearts;Jim Butcher;4,16;3,542 ;528 ;368;2022-05-03;2022;Fantasy
Knight Owl;Christopher Denise;4,51;4,892 ;916 ;48;2022-03-15;2022;Picture Books
The Book of Goose;Yiyun Li;3,71;15,179 ;2,304 ;348;2022-09-20;2022;Fiction
The River of Silver;S.A. Chakraborty;4,3;8,504 ;1,487 ;242;2022-03-01;2022;Fantasy
Out of the Clear Blue Sky;Kristan Higgins;4,22;22,375 ;2,154 ;496;2022-06-07;2022;Fiction
Nightwork;Nora Roberts;4,27;35,450 ;2,556 ;437;2022-05-24;2022;Romance
Messy Roots: A Graphic Memoir of a Wuhanese American;Laura Gao;4,24;5,002 ;766 ;272;2022-03-08;2022;Graphic Novels
Hell and Back;Craig Johnson;3,96;8,318 ;861 ;336;2022-09-06;2022;Mystery
